Model,Train_MacroF1,Test_MacroF1
XGBoost_Base,0.8915783733176678,0.4755099356859939
XGBoost_Regularized,0.8840331158930835,0.48659208906492535
RandomForest_Base,0.87480536973156,0.458004674262343
RandomForest_Regularized,0.8478514832001448,0.4979337777122315
MLP_2Layer_Base,0.812057813651644,0.5495788919594684
MLP_2Layer_Regularized,0.8280765695474658,0.5707828211959841
MLP_5Layer_Base,0.8538107169235665,0.48990178280245367
MLP_5Layer_Regularized,0.807324008930555,0.5357188045406823
LogisticRegression_Base,0.3334295018704814,0.3175251181822923
LogisticRegression_L1,0.3334295018704814,0.31498199491324824
